Timestamp,What is the job title that best describes your role when using Xarray?,What field do you work in?,How did you hear about this survey?,How often do you use Xarray?,How many years have you been using Xarray?,How do you rate your level of Xarray proficiency?,"For your applications that use Xarray, how critical is Xarray?",Is Xarray stable enough for you?,What Xarray resources have you used for support in the last six months?,"Which of Xarray's core features are most important to you? [Label-based indexing, interpolation, groupby, reindexing, and computation]",Which of Xarray's core features are most important to you? [Reading and writing files],Which of Xarray's core features are most important to you? [Parallel computation with Dask],Which of Xarray's core features are most important to you? [Interoperability with Pandas],Which of Xarray's core features are most important to you? [Plotting],Where do you use Xarray? [Personal laptop],Where do you use Xarray? [Large workstation],Where do you use Xarray? [HPC cluster],Where do you use Xarray? [Cloud cluster],Interactive or batch? [Interactive:  I use Xarray with Jupyter or IPython when playing with data],Interactive or batch? [Batch: I use Xarray in scripts that run in the future],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [NetCDF 3*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [NetCDF 4*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Zarr*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [GRIB*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [GeoTIFF*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Python Pickle*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [HDF 4/5],"Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Other Image format (PNG, JPG, TIFF, etc.)]",Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Video (e.g. MP4)],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Database (e.g. MongoDB)],"Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Tensors (e.g. PyTorch, Tensorflow, NumPy)]",Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Other],"If you answered ""Other"" above, please list any additional formats:",How easy is it for you to upgrade to newer versions of Python libraries?,"What are some other libraries that you often use with Xarray? (e.g. ""dask, pandas, scikit-learn"") ",What would make Xarray even more useful for your work?,What development activities would help you most right now? [Bug fixes],What development activities would help you most right now? [More documentation],What development activities would help you most right now? [More examples in my domain],What development activities would help you most right now? [New features],What development activities would help you most right now? [Performance improvements],"What common feature requests do you care about most? [More flexible indexing (i.e. selection, alignment)]","What common feature requests do you care about most? [More flexible backend arrays (e.g. Dask, CuPy, Pint, Sparse)]","What common feature requests do you care about most? [More flexible file IO (e.g. netCDF, Zarr, DB)]",What common feature requests do you care about most? [Better physical unit support],What common feature requests do you care about most? [Better documentation / more examples from my field],"What common feature requests do you care about most? [Better interoperability with Machine Learning libraries (e.g. Scikit-learn, Tensorflow)]",Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [CuPy (GPU) arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Sparse arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Dask arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Pint (unit-aware) arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Other],"If you answered ""Other"" above, list any additional array types:",Xarray's documentation is due for a makeover. Rank the following set of possible changes based on your personal preferences: [Rewrite introductory material to be more generic (less focused on NetCDF and geoscience applications)],Xarray's documentation is due for a makeover. Rank the following set of possible changes based on your personal preferences: [A more modern web design],Xarray's documentation is due for a makeover. Rank the following set of possible changes based on your personal preferences: [Expanded set of domain-specific interactive tutorials],Xarray's documentation is due for a makeover. Rank the following set of possible changes based on your personal preferences: [Expanded set of generic examples for common workflow patterns],,
1/8/2021 10:24:47,"Domain scientist / researcher, Software engineer / developer",Geosciences,Friend,Most days,2,2,,Yes,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/)",5 (most),2,4,3,1 (least),Most days,Most days,Most days,Never,Most days,Most days,Regularly (~weekly),Most days,Regularly (~weekly),Occasionally (~monthly),Never,Regularly (~weekly),Occasionally (~monthly),Never,Never,Never,Never,Never,,3,"dask, pandas, matplotlib, cartopy",,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Critical,Very useful,Very useful,Somewhat interested,Somewhat interested,Very interested,Not interested,Not interested,,4 (lowest priority),2,1 (highest priority),3,,
1/8/2021 10:45:31,Domain scientist / researcher,Geosciences,Friend,Occasionally (~monthly),1,0,0,Yes,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), Stack Overflow #python-xarray tag",5 (most),4,2,1 (least),3,Never,Occasionally (~monthly),Occasionally (~monthly),Never,Occasionally (~monthly),Never,Most days,Most days,Never,Occasionally (~monthly),Never,Never,Never,Occasionally (~monthly),Never,Never,Never,Never,,3,"matplotlib, numpy, cartopy","Native support for cubed-sphere domains, which are increasingly popular for global weather models. ",Very useful,Somewhat useful,Very useful,Somewhat useful,Very useful,Very useful,Not relevant,Very useful,Very useful,Somewhat useful,Not relevant,,,,,,,4 (lowest priority),3,1 (highest priority),2,,
1/8/2021 11:12:07,Software engineer / developer,Geosciences,gitter,Most days,2,3,4,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",5 (most),3,4,1 (least),2,Occasionally (~monthly),Regularly (~weekly),Occasionally (~monthly),Most days,Occasionally (~monthly),Most days,,Most days,Most days,Occasionally (~monthly),Never,Occasionally (~monthly),Never,Never,Never,Occasionally (~monthly),Never,,,4,"xarray, dask, zarr, fsspec-s3",,Very useful,Somewhat useful,Somewhat useful,Very useful,Critical,Somewhat useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Not relevant,Somewhat interested,Very interested,Very interested,Somewhat interested,,,3,4 (lowest priority),2,1 (highest priority),,
1/8/2021 13:50:40,Data scientist,Geosciences,Twitter,Most days,2,2,4,Yes,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), Stack Overflow #python-xarray tag, Github Discussions",5 (most),4,2,1 (least),3,Most days,Never,Never,Occasionally (~monthly),Most days,Occasionally (~monthly),Never,Most days,Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Never,Occasionally (~monthly),Never,Never,Never,Never,,,3,"Pandas, rasterio, geopandas",Better performances,Somewhat useful,Very useful,Somewhat useful,Very useful,Critical,,Critical,Critical,Somewhat useful,Somewhat useful,Somewhat useful,Very interested,Not interested,Very interested,Somewhat interested,,,1 (highest priority),2,3,4 (lowest priority),,
1/9/2021 8:51:10,Domain scientist / researcher,Geosciences,Friend,Most days,4,2,3,Yes,"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag",5 (most),2,3,4,1 (least),Occasionally (~monthly),Occasionally (~monthly),Regularly (~weekly),Never,Regularly (~weekly),Regularly (~weekly),Occasionally (~monthly),Most days,Never,Never,Occasionally (~monthly),Never,Never,Never,Never,Never,Never,,,3,"dask, pandas, numpy, matplotlib ",,Very useful,Critical,Critical,Somewhat useful,Somewhat useful,Very useful,Very useful,Somewhat useful,Not relevant,Critical,Somewhat useful,Very interested,Very interested,Very interested,Not interested,,,3,4 (lowest priority),2,1 (highest priority),,
1/10/2021 15:32:08,Domain scientist / researcher,Geosciences,Friend,Most days,2,3,4,Yes,"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",5 (most),3,4,1 (least),2,Never,Never,Most days,Never,Most days,Regularly (~weekly),Occasionally (~monthly),Most days,Most days,Occasionally (~monthly),Never,Never,Never,Occasionally (~monthly),Occasionally (~monthly),Never,Occasionally (~monthly),,,4,"dask, numpy, scikit-learn, pandas",,Somewhat useful,Very useful,Somewhat useful,Very useful,Very useful,Very useful,"Very useful, Critical",Very useful,Not relevant,Very useful,Somewhat useful,Not interested,Not interested,Very interested,Not interested,,,3,4 (lowest priority),2,1 (highest priority),,
1/10/2021 17:11:49,Domain scientist / researcher,Geosciences,Twitter,Most days,7,3,4,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/)",5 (most),4,3,2,1 (least),Most days,Most days,Occasionally (~monthly),Occasionally (~monthly),Most days,Occasionally (~monthly),Most days,Most days,Most days,Most days,Regularly (~weekly),Never,Occasionally (~monthly),Regularly (~weekly),,Occasionally (~monthly),Most days,,,4,"cartopy, dask, pandas, geopandas, regionmask ","support for reprojecting data, and more interpolation schemes ",Somewhat useful,Very useful,Very useful,Critical,Very useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Very useful,Very useful,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,,,2,1 (highest priority),4 (lowest priority),3,,
1/10/2021 18:30:44,Data scientist,"Geosciences, Astrophysics, Statistics & Machine Learning",Friend,Occasionally (~monthly),2,2,2,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), Stack Overflow #python-xarray tag",5 (most),3,4,2,1 (least),Never,Occasionally (~monthly),Most days,Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Never,Regularly (~weekly),Regularly (~weekly),Occasionally (~monthly),Occasionally (~monthly),Never,Never,Never,Never,Never,Never,Never,,2,"dask,scikit-learn",,Not relevant,Somewhat useful,Critical,Very useful,Very useful,Very useful,Critical,Critical,Somewhat useful,Critical,Critical,Very interested,Somewhat interested,Very interested,Somewhat interested,Not interested,,3,4 (lowest priority),1 (highest priority),2,,
1/10/2021 23:27:07,"Student, Domain scientist / researcher",Geosciences,Mailing list,Regularly (~weekly),1,2,1,Yes,"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag",4,5 (most),2,1 (least),3,Regularly (~weekly),Never,Occasionally (~monthly),Occasionally (~monthly),Regularly (~weekly),Occasionally (~monthly),Occasionally (~monthly),Regularly (~weekly),Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,2,"numpy, matplotlib",,,,,,,Critical,Not relevant,"Not relevant, Somewhat useful",Not relevant,Very useful,Not relevant,,,,,,,2,1 (highest priority),3,4 (lowest priority),,
1/11/2021 3:00:42,"Data scientist, Software engineer / developer",Statistics & Machine Learning,GitHub,Occasionally (~monthly),1,0,2,,"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",1 (least),5 (most),3,4,2,Occasionally (~monthly),Never,Never,Never,Never,Occasionally (~monthly),Never,Never,Never,Never,Never,Occasionally (~monthly),Never,Never,Never,Never,Never,,,4,,"API improvements, no index on rows",Somewhat useful,Very useful,Somewhat useful,Critical,Critical,Not relevant,Critical,Not relevant,Not relevant,Not relevant,Critical,Somewhat interested,Very interested,Somewhat interested,Not interested,,,1 (highest priority),4 (lowest priority),3,2,,
1/11/2021 4:47:09,Domain scientist / researcher,Geosciences,Twitter,Most days,3,2,3,No,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), Stack Overflow #python-xarray tag",4,5 (most),3,2,1 (least),Most days,Regularly (~weekly),Occasionally (~monthly),Never,Occasionally (~monthly),Most days,Occasionally (~monthly),Most days,Never,Most days,Never,Never,Occasionally (~monthly),Occasionally (~monthly),Never,Never,Most days,,,3,"dask, pandas, matplotlib, stats","Be able to read GRIB files when downloading Xarray only, not depending on separate loading of eccodes ",Critical,Critical,Critical,Very useful,Critical,Very useful,Critical,Critical,Somewhat useful,Critical,Very useful,Somewhat interested,Not interested,Very interested,Not interested,,,3,4 (lowest priority),1 (highest priority),2,,
1/11/2021 5:40:18,"Domain scientist / researcher, Data scientist",Geosciences,Slack channel,Most days,1,3,4,Yes,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/)",5 (most),3,2,4,1 (least),Regularly (~weekly),Regularly (~weekly),Most days,Never,Most days,Never,Never,Most days,Never,Occasionally (~monthly),Never,Never,Never,Never,Never,Never,Most days,Never,,3,"numpy, scipy, matplotlib, pandas, dask, scikit-learn","incorporate more statistical and mathematical functions, or allow scipy functions for example to be compatible el with xarray data",Very useful,Very useful,Critical,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Critical,Very useful,Not interested,Not interested,Very interested,Not interested,Not interested,,4 (lowest priority),3,2,1 (highest priority),,
1/11/2021 5:41:33,Data scientist,Geosciences,pangeo forum,Most days,1,3,4,Yes,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues), Github Discussions",4,3,5 (most),1 (least),2,Most days,Never,Never,Most days,Most days,Most days,Never,Never,Most days,Never,Most days,Occasionally (~monthly),Occasionally (~monthly),Never,Never,Never,Never,Never,,3,,,Somewhat useful,Very useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Very useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Somewhat interested,Somewhat interested,Very interested,Not interested,Not interested,,2,1 (highest priority),3,4 (lowest priority),,
1/11/2021 7:56:25,Data scientist,Geosciences,Glitter,Regularly (~weekly),1,2,4,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag",5 (most),3,4,2,1 (least),Most days,Regularly (~weekly),Regularly (~weekly),Occasionally (~monthly),Regularly (~weekly),Regularly (~weekly),Never,Regularly (~weekly),Never,Never,Most days,Never,Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Never,Occasionally (~monthly),Never,,4,"dask, pytorch, pandas",Easier ways to parallel process (implementation of map_overlap),Very useful,Very useful,Critical,Somewhat useful,Not relevant,Somewhat useful,Very useful,Not relevant,Not relevant,Very useful,Somewhat useful,Somewhat interested,Not interested,Very interested,Not interested,Not interested,,2,4 (lowest priority),3,1 (highest priority),,
1/11/2021 9:02:15,Domain scientist / researcher,Biosciences,Mailing list,Regularly (~weekly),1,2,3,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), GitHub issue trackers (reading past issues)",5 (most),3,2,4,1 (least),Regularly (~weekly),Regularly (~weekly),Never,Occasionally (~monthly),Occasionally (~monthly),Regularly (~weekly),Never,Most days,Never,Never,Never,Never,Most days,Never,Never,Never,Never,Never,,4,"pandas, numpy, scipy",better unit support (with pint),Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Critical,Somewhat useful,Not relevant,Somewhat interested,Somewhat interested,Somewhat interested,Very interested,,,2,4 (lowest priority),3,1 (highest priority),,
1/11/2021 9:54:35,"Domain scientist / researcher, Data scientist, Software engineer / developer",Geosciences,Mailing list,Most days,1,1,1,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",3,2,1 (least),5 (most),4,Most days,Never,Never,Occasionally (~monthly),Most days,Most days,Never,Occasionally (~monthly),Never,Never,Most days,Never,Occasionally (~monthly),Never,Never,Never,Never,,,3,SciPy (ndimage); rioxarray (rasterio); Pandas; NumPy; matplotlib,"Better handling and management of coordinate reference systems (CRS) and integration with vector datasets; more geospatial examples and clearer information on basic Xarray functionality (e.g. if I merge two datasets with defaults, what's being done to create the shared coordinate dimensions)",Somewhat useful,Critical,Critical,Very useful,Not relevant,Very useful,Not relevant,Somewhat useful,Somewhat useful,Critical,Somewhat useful,Not interested,Very interested,Somewhat interested,Somewhat interested,,,1 (highest priority),4 (lowest priority),3,2,,
1/11/2021 9:56:59,Student,oceanography,Twitter,Most days,3,3,3,Yes,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), GitHub issue trackers (reading past issues)",5 (most),4,3,1 (least),2,Occasionally (~monthly),Most days,Most days,Never,Most days,Occasionally (~monthly),,Most days,Never,Regularly (~weekly),,,,,,,,,,3,"pandas, gsw, cartopy, iris, pyferret, scipy, numpy",integration of CF convention at the xarray reading and writing stage.,Critical,Very useful,Critical,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Somewhat useful,,,Somewhat interested,Very interested,,,4 (lowest priority),3,2,1 (highest priority),,
1/11/2021 13:12:24,"Data scientist, Software engineer / developer","Geosciences, Statistics & Machine Learning, Thermodynamics",Discourse ,Most days,2,3,4,Yes,"Documentation (http://xarray.pydata.org/), GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues), Github Discussions",5 (most),4,3,2,1 (least),Regularly (~weekly),Regularly (~weekly),Never,Most days,Regularly (~weekly),Most days,Never,Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Never,Occasionally (~monthly),Occasionally (~monthly),Never,,2,"dask, pandas, scikit-learn, xesmf, numpy, prefect, scipy, numba",Continued improvement ,Somewhat useful,Very useful,Somewhat useful,Very useful,Critical,Very useful,"Very useful, Critical",Critical,Somewhat useful,"Somewhat useful, Very useful",Critical,Somewhat interested,Very interested,Very interested,Somewhat interested,Not interested,,3,4 (lowest priority),2,1 (highest priority),,
1/11/2021 13:55:49,Domain scientist / researcher,"Geosciences, Statistics & Machine Learning",Mailing list,Regularly (~weekly),3,3,2,Yes,"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag, Github Discussions",5 (most),1 (least),2,4,3,,Regularly (~weekly),,,Regularly (~weekly),,Never,Regularly (~weekly),Never,Never,Never,Never,Never,Never,Never,Never,Never,,,3,"pandas, dask, seaborn, cartopy, matplotlob",,Very useful,Very useful,Very useful,Somewhat useful,Very useful,,,,Somewhat useful,Critical,Somewhat useful,Very interested,Somewhat interested,Very interested,Very interested,,,3,4 (lowest priority),2,1 (highest priority),,
1/11/2021 15:10:30,Student,Biosciences,Zulip,Regularly (~weekly),1,0,4,Yes,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), GitHub issue trackers (reading past issues), Github Discussions",5 (most),4,1 (least),2,3,Most days,Never,Most days,Occasionally (~monthly),Most days,Never,,Occasionally (~monthly),Most days,,,,,,,,Regularly (~weekly),,,2,"dask, pandas, matplotlib, cartopy","annotated examples of exactly what is doing what in the read the docs examples. In general, making the read the docs more friendly to beginners ",Somewhat useful,Critical,Critical,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Critical,"Very useful, Critical",,,Very interested,,,,3,4 (lowest priority),1 (highest priority),2,,
1/11/2021 16:13:23,Data scientist,"Geosciences, Statistics & Machine Learning",GitHub,Most days,0,3,3,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/)",4,2,5 (most),3,1 (least),Regularly (~weekly),Most days,Never,Regularly (~weekly),Most days,Occasionally (~monthly),Never,Regularly (~weekly),Occasionally (~monthly),Never,Most days,Never,Never,Never,Never,Never,Never,,,3,"DASK, Rioxarray, Pandas, Rasterio, Sckit-learn",More tutorials  and events.,Very useful,Very useful,Critical,Very useful,Very useful,Critical,Very useful,Somewhat useful,Somewhat useful,Very useful,Critical,Very interested,Somewhat interested,Very interested,Somewhat interested,,,4 (lowest priority),3,1 (highest priority),2,,
1/11/2021 21:10:18,Data scientist,Geosciences,Swung,Regularly (~weekly),3,2,3,Yes,"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag, Github Discussions",2,4,5 (most),3,1 (least),Occasionally (~monthly),Regularly (~weekly),,Occasionally (~monthly),Regularly (~weekly),,Occasionally (~monthly),Occasionally (~monthly),Regularly (~weekly),Never,Most days,Regularly (~weekly),Occasionally (~monthly),Most days,Occasionally (~monthly),Occasionally (~monthly),Regularly (~weekly),,,3,verde,more conversion to other format like geotiff tutorials,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Very useful,Very useful,Somewhat useful,Very useful,Very useful,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,,,4 (lowest priority),3,1 (highest priority),2,,
1/12/2021 0:44:14,Domain scientist / researcher,Geosciences,pangeo discourse,Most days,4,3,4,Yes,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), GitHub issue trackers (reading past issues)",3,5 (most),4,1 (least),2,Regularly (~weekly),Occasionally (~monthly),Most days,Occasionally (~monthly),Most days,Occasionally (~monthly),Never,Most days,Most days,Never,Never,Never,Never,Never,Never,Never,Never,Never,,2,dask,,Not relevant,Somewhat useful,Somewhat useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Not relevant,Very useful,Somewhat useful,Somewhat interested,Somewhat interested,Very interested,Not interested,Not interested,,4 (lowest priority),3,1 (highest priority),2,,
1/12/2021 3:51:16,"Student, Domain scientist / researcher",Geosciences,Friend,Regularly (~weekly),3,2,2,Yes,"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag, GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues)",5 (most),3,1 (least),2,4,Most days,Regularly (~weekly),Never,Never,Most days,Never,Never,Regularly (~weekly),Occasionally (~monthly),Never,Never,Occasionally (~monthly),Occasionally (~monthly),Regularly (~weekly),Occasionally (~monthly),Never,Occasionally (~monthly),Never,,3,"arviz, pandas, pymc3, hvplot, sunode","support for units, even more plotting capabilities",Critical,Very useful,Somewhat useful,Very useful,"Not relevant, Somewhat useful",Very useful,Not relevant,Not relevant,Very useful,Somewhat useful,Not relevant,Somewhat interested,Somewhat interested,Somewhat interested,Very interested,Not interested,,3,4 (lowest priority),2,1 (highest priority),,
1/12/2021 4:09:07,"Data scientist, Software engineer / developer","Geosciences, Statistics & Machine Learning",post on GITTER,Most days,3,3,4,Yes,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), Github Discussions",3,5 (most),2,4,1 (least),Most days,,Most days,Most days,Most days,Occasionally (~monthly),Most days,Most days,,,,,,,,,,,,4,"pandas, scikit-learn, pyviz (holoviews, geoviews, datashader)",An opendap interface to xarray dataset - possible approach add an xarray baked pydap (using xarray instead of netcdf4/scipy which makes use of multi-cpu system via dask) <- This will be awesome and finally a replacment for thredds :),Very useful,Somewhat useful,Very useful,Critical,Critical,Very useful,Critical,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Very interested,Somewhat interested,Very interested,Not interested,Very interested,point cloud dataset (e.g.: LAS),4 (lowest priority),3,1 (highest priority),2,,
1/12/2021 7:37:52,Domain scientist / researcher,"Geosciences, Wind Energy",Friend,Most days,4,3,4,Yes,"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag",4,3,5 (most),1 (least),2,Regularly (~weekly),Never,Most days,Never,Most days,Most days,,Most days,Most days,Occasionally (~monthly),Occasionally (~monthly),Regularly (~weekly),Never,Never,Never,Never,Regularly (~weekly),,,4,"dask, pandas, scikit-learn, cython, ","Interpolation along chunked dimensions, I had written some routines that do this but they are not standard and based on finite differences interpolation techniques",Critical,Very useful,Somewhat useful,Critical,Very useful,Critical,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Somewhat interested,Very interested,Very interested,Somewhat interested,,,3,4 (lowest priority),2,1 (highest priority),,
1/12/2021 8:16:34,Student,Geosciences,GeoHackweek,Regularly (~weekly),3,2,2,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),Documentation (http://xarray.pydata.org/),4,3,5 (most),1 (least),,Occasionally (~monthly),,Most days,,Occasionally (~monthly),Most days,,Most days,Most days,Most days,,,Most days,,,,,,,4,"dask, matplotlib",,Very useful,,,,Very useful,,,,,,,Somewhat interested,Very interested,Very interested,,,,3,4 (lowest priority),2,1 (highest priority),,
1/12/2021 12:27:20,Domain scientist / researcher,"Geosciences, Statistics & Machine Learning",Friend,Most days,1,2,3,Yes,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), Stack Overflow #python-xarray tag",2,3,4,5 (most),1 (least),Most days,Never,Occasionally (~monthly),Never,Most days,Occasionally (~monthly),Occasionally (~monthly),Most days,Occasionally (~monthly),Never,Regularly (~weekly),Occasionally (~monthly),Regularly (~weekly),Never,Never,Never,Occasionally (~monthly),,,3,"geopandas, pandas, NumPy, scikit-learn, geoviews",Better integration with spatial operations in geopandas,"Not relevant, Somewhat useful",Very useful,Very useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Not relevant,Very useful,Very useful,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Not interested,,4 (lowest priority),3,2,1 (highest priority),,
1/12/2021 23:04:00,Domain scientist / researcher,Geosciences,Pangeo discourse,Most days,2,3,3,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",5 (most),3,4,1 (least),2,Regularly (~weekly),Regularly (~weekly),Most days,Never,Most days,Never,Occasionally (~monthly),Most days,Never,Never,Never,Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Never,Never,Never,,,4,"cartopy, seaborn, dask, xgcm",More documented examples!,Somewhat useful,Very useful,Critical,"Somewhat useful, Critical",Critical,Somewhat useful,Not relevant,Somewhat useful,Not relevant,Critical,Not relevant,Not interested,Somewhat interested,Somewhat interested,Not interested,,,4 (lowest priority),3,2,1 (highest priority),,
1/13/2021 7:01:45,Domain scientist / researcher,Geosciences,Friend,Most days,0,4,3,Yes,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), Stack Overflow #python-xarray tag, GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues), Github Discussions",5 (most),4,2,1 (least),3,Never,Most days,Most days,Never,Never,Most days,Most days,Most days,,Most days,,,Most days,,,,,Most days,csv ,4,"metpy, boto3, satpy, cartopy.","Projection, metpy.units, pydecorate.",Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Critical,Not relevant,Not interested,,Very interested,Somewhat interested,,,4 (lowest priority),3,1 (highest priority),2,,
1/13/2021 9:48:35,Domain scientist / researcher,Geosciences,Friend,Most days,0,4,3,Yes,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), Stack Overflow #python-xarray tag, GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues), Github Discussions",5 (most),4,2,1 (least),3,Never,Most days,Most days,Never,Never,Most days,Most days,Most days,,Most days,,,Most days,,,,,Most days,csv ,4,"metpy, boto3, satpy, cartopy.","Projection, metpy.units, pydecorate.",Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Critical,Not relevant,Not interested,,Very interested,Somewhat interested,,,4 (lowest priority),3,1 (highest priority),2,,
